1546454752, 02/01/2019, 08:45:53, IGUA_003, cash, 000000, 200, 1235
1546457205, 02/01/2019, 09:26:45, IGUA_003, cash, 000000, 30, 449
1546458603, 02/01/2019, 09:50:03, IGUA_003, cash, 000000, 10, 235
1546460064, 02/01/2019, 10:14:24, IGUA_003, cash, 000000, 50, 2401
1546464906, 02/01/2019, 11:35:06, IGUA_003, cash, 000000, 200, 834
1546467143, 02/01/2019, 12:12:23, IGUA_003, cash, 000000, 20, 426
1546467879, 02/01/2019, 12:24:39, IGUA_003, cash, 000000, 50, 1095
1546469452, 02/01/2019, 12:50:52, IGUA_003, cash, 000000, 100, 2039
1546469818, 02/01/2019, 12:56:58, IGUA_003, cash, 000000, 50, 1028
1546469877, 02/01/2019, 12:57:57, IGUA_003, cash, 000000, 10, 215
1546472934, 02/01/2019, 13:48:54, IGUA_003, cash, 000000, 50, 1022
1546472964, 02/01/2019, 13:49:24, IGUA_003, cash, 000000, 30, 622
1546473350, 02/01/2019, 13:55:50, IGUA_003, cash, 000000, 20, 497
1546473653, 02/01/2019, 14:00:53, IGUA_003, cash, 000000, 50, 835
1546476185, 02/01/2019, 14:43:05, IGUA_003, cash, 000000, 50, 1048
1546477610, 02/01/2019, 15:06:50, IGUA_003, cash, 000000, 50, 1012
1546483230, 02/01/2019, 16:40:30, IGUA_003, cash, 000000, 50, 1028
1546486516, 02/01/2019, 17:35:16, IGUA_003, cash, 000000, 50, 1015
1546490149, 02/01/2019, 18:35:49, IGUA_003, cash, 000000, 100, 2037
1546490310, 02/01/2019, 18:38:30, IGUA_003, cash, 000000, 50, 1023
1546490939, 02/01/2019, 18:48:59, IGUA_003, cash, 000000, 50, 1009
1546495090, 02/01/2019, 19:58:10, IGUA_003, cash, 000000, 100, 2033
1546502637, 02/01/2019, 22:03:57, IGUA_003, cash, 000000, 20, 412
1546538037, 03/01/2019, 07:53:57, IGUA_003, cash, 000000, 100, 2016
1546539094, 03/01/2019, 08:11:34, IGUA_003, cash, 000000, 10, 212
1546540000, 03/01/2019, 08:26:40, IGUA_003, cash, 000000, 10, 226
1546540013, 03/01/2019, 08:26:53, IGUA_003, cash, 000000, 10, 223
1546540637, 03/01/2019, 08:37:17, IGUA_003, cash, 000000, 10, 213
1546540660, 03/01/2019, 08:37:40, IGUA_003, cash, 000000, 10, 221
1546540688, 03/01/2019, 08:38:08, IGUA_003, cash, 000000, 10, 219
1546541785, 03/01/2019, 08:56:25, IGUA_003, cash, 000000, 50, 1028
1546543458, 03/01/2019, 09:24:18, IGUA_003, cash, 000000, 50, 1044
1546543531, 03/01/2019, 09:25:31, IGUA_003, cash, 000000, 50, 999
1546543790, 03/01/2019, 09:29:50, IGUA_003, cash, 000000, 10, 232
1546543804, 03/01/2019, 09:30:04, IGUA_003, cash, 000000, 10, 225
1546547388, 03/01/2019, 10:29:48, IGUA_003, cash, 000000, 200, 1284
1546547676, 03/01/2019, 10:34:36, IGUA_003, cash, 000000, 20, 433
1546547704, 03/01/2019, 10:35:04, IGUA_003, cash, 000000, 10, 222
1546550366, 03/01/2019, 11:19:26, IGUA_003, cash, 000000, 20, 426
1546554296, 03/01/2019, 12:24:56, IGUA_003, cash, 000000, 40, 834
1546559814, 03/01/2019, 13:56:54, IGUA_003, cash, 000000, 50, 1045
1546561146, 03/01/2019, 14:19:06, IGUA_003, cash, 000000, 20, 430
1546561158, 03/01/2019, 14:19:18, IGUA_003, cash, 000000, 20, 420
1546562652, 03/01/2019, 14:44:12, IGUA_003, cash, 000000, 20, 435
1546569042, 03/01/2019, 16:30:42, IGUA_003, cash, 000000, 30, 613
1546570068, 03/01/2019, 16:47:48, IGUA_003, cash, 000000, 200, 1605
1546570734, 03/01/2019, 16:58:54, IGUA_003, cash, 000000, 50, 650
1546573602, 03/01/2019, 17:46:42, IGUA_003, cash, 000000, 60, 1286
1546575802, 03/01/2019, 18:23:22, IGUA_003, cash, 000000, 100, 2075
1546578617, 03/01/2019, 19:10:17, IGUA_003, cash, 000000, 50, 690
1546584641, 03/01/2019, 20:50:41, IGUA_003, cash, 000000, 50, 1028
1546587168, 03/01/2019, 21:32:48, IGUA_003, cash, 000000, 40, 857
1546588059, 03/01/2019, 21:47:39, IGUA_003, cash, 000000, 60, 1216
1546588360, 03/01/2019, 21:52:40, IGUA_003, cash, 000000, 50, 1012
1546626596, 04/01/2019, 08:29:56, IGUA_003, cash, 000000, 150, 3040
1546628115, 04/01/2019, 08:55:15, IGUA_003, cash, 000000, 10, 225
1546628123, 04/01/2019, 08:55:23, IGUA_003, cash, 000000, 10, 221
1546630449, 04/01/2019, 09:34:09, IGUA_003, cash, 000000, 20, 413
1546630465, 04/01/2019, 09:34:25, IGUA_003, cash, 000000, 10, 224
1546630474, 04/01/2019, 09:34:34, IGUA_003, cash, 000000, 10, 217
1546630813, 04/01/2019, 09:40:13, IGUA_003, cash, 000000, 10, 214
1546632164, 04/01/2019, 10:02:44, IGUA_003, cash, 000000, 10, 280
1546633824, 04/01/2019, 10:30:24, IGUA_003, cash, 000000, 100, 2066
1546634414, 04/01/2019, 10:40:14, IGUA_003, cash, 000000, 50, 1037
1546634498, 04/01/2019, 10:41:38, IGUA_003, cash, 000000, 50, 1025
1546635266, 04/01/2019, 10:54:26, IGUA_003, cash, 000000, 180, 1023
1546639297, 04/01/2019, 12:01:37, IGUA_003, cash, 000000, 20, 436
1546640451, 04/01/2019, 12:20:51, IGUA_003, cash, 000000, 20, 418
1546640878, 04/01/2019, 12:27:58, IGUA_003, cash, 000000, 10, 221
1546642987, 04/01/2019, 13:03:07, IGUA_003, cash, 000000, 50, 1050
1546644112, 04/01/2019, 13:21:52, IGUA_003, cash, 000000, 50, 745
1546646305, 04/01/2019, 13:58:25, IGUA_003, cash, 000000, 50, 1080
1546646715, 04/01/2019, 14:05:15, IGUA_003, cash, 000000, 50, 1153
1546647993, 04/01/2019, 14:26:33, IGUA_003, cash, 000000, 30, 630
1546648079, 04/01/2019, 14:27:59, IGUA_003, cash, 000000, 10, 234
1546648392, 04/01/2019, 14:33:12, IGUA_003, cash, 000000, 20, 434
1546648466, 04/01/2019, 14:34:26, IGUA_003, cash, 000000, 20, 427
1546648968, 04/01/2019, 14:42:48, IGUA_003, cash, 000000, 10, 222
1546649652, 04/01/2019, 14:54:12, IGUA_003, cash, 000000, 50, 1042
1546650084, 04/01/2019, 15:01:24, IGUA_003, cash, 000000, 20, 1072
1546650146, 04/01/2019, 15:02:26, IGUA_003, cash, 000000, 20, 419
1546650405, 04/01/2019, 15:06:45, IGUA_003, cash, 000000, 50, 1013
1546650690, 04/01/2019, 15:11:30, IGUA_003, cash, 000000, 50, 1030
1546650737, 04/01/2019, 15:12:17, IGUA_003, cash, 000000, 50, 1030
